date,CL=F,NG=F,GC=F,CADUSD=X,AUDUSD=X,EURUSD=X,CNYUSD=X,MXNUSD=X,JPYUSD=X,GBPUSD=X,KRWUSD=X,wcs_monthly
2022-12-28,78.95999908447266,4.709000110626221,1807.9000244140625,0.7393715381622314,0.6729927659034729,1.0637166500091553,0.1436988115310669,0.0513819195330143,0.007491422817111,1.2027326822280884,0.0007859905017539,
2022-12-29,78.4000015258789,4.559000015258789,1819.5,0.7353265285491943,0.6747100949287415,1.062925100326538,0.1433157473802566,0.0514872074127197,0.0074607939459383,1.2028483152389526,0.0007847322849556,
2022-12-30,80.26000213623047,4.474999904632568,1819.699951171875,0.7378984093666077,0.6766000390052795,1.066075325012207,0.1436142027378082,0.051393799483776,0.0075235487893223,1.2056326866149902,0.000793487066403,
2023-01-03,76.93000030517578,3.98799991607666,1839.699951171875,0.7375174760818481,0.6805600523948669,1.0677714347839355,0.144988477230072,0.0513906329870224,0.0076456102542579,1.206287145614624,0.0007873395807109,
2023-01-04,72.83999633789062,4.171999931335449,1852.800048828125,0.7313095927238464,0.6727999448776245,1.0546854734420776,0.1446319818496704,0.051526203751564,0.0076191634871065,1.1969740390777588,0.0007818119483999,
2023-01-05,73.66999816894531,3.7200000286102295,1834.800048828125,0.7415592074394226,0.6829108595848083,1.0606365203857422,0.1451842337846756,0.0515814870595932,0.0075616650283336,1.2057054042816162,0.0007867325912229,
2023-01-06,73.7699966430664,3.7100000381469727,1864.199951171875,0.7374685406684875,0.6755697727203369,1.0522217750549316,0.1453171670436859,0.0517637208104133,0.0075014811009168,1.1912277936935425,0.0007848184322938,
2023-01-09,74.62999725341797,3.910000085830689,1872.699951171875,0.7443134188652039,0.689398467540741,1.0656323432922363,0.1462544202804565,0.0522894971072673,0.0075836861506104,1.2116365432739258,0.000798161025159,
2023-01-10,75.12000274658203,3.638999938964844,1871.5999755859373,0.746619701385498,0.6909699440002441,1.073318362236023,0.1476886719465255,0.0522889494895935,0.0075913425534963,1.2184869050979614,0.0008069201139733,
2023-01-11,77.41000366210938,3.671000003814697,1874.5999755859373,0.7444409132003784,0.6895001530647278,1.0738946199417114,0.1475492119789123,0.0524669960141181,0.0075699654407799,1.2154507637023926,0.0008063475252129,
2023-01-12,78.38999938964844,3.694999933242798,1895.5,0.7446016073226929,0.6910998225212097,1.0766000747680664,0.1477323025465011,0.0527916215360164,0.0075813867151737,1.215953350067139,0.0008054123609326,
2023-01-13,79.86000061035156,3.4189999103546143,1918.4000244140625,0.7476076483726501,0.6967815160751343,1.0860239267349243,0.1484163999557495,0.0530664138495922,0.0077416161075234,1.2217769622802734,0.0008070178446359,
2023-01-17,80.18000030517578,3.5859999656677246,1907.199951171875,0.746391236782074,0.6966398358345032,1.083012938499451,0.1485332399606704,0.0532540902495384,0.0077929566614329,1.2207776308059692,0.0008059901301749,
2023-01-18,79.4800033569336,3.311000108718872,1904.4000244140625,0.7468259930610657,0.6988413333892822,1.0793308019638062,0.1476581394672393,0.0536437518894672,0.0077953864820301,1.228471040725708,0.0008084074361249,
