Date,CL=F,BZ=F,GC=F,COP=X,BRL=X,MXN=X,DX-Y.NYB
2019-03-20,59.83000183105469,68.5,1300.5,3096.0,3.7876999378204346,18.99449920654297,95.76000213623047
2019-03-21,59.97999954223633,67.86000061035156,1306.0999755859375,3087.300048828125,3.774199962615967,18.798999786376953,96.5
2019-03-22,59.040000915527344,67.02999877929688,1311.5999755859375,3086.0,3.7909998893737793,18.850000381469727,96.6500015258789
2019-03-25,58.81999969482422,67.20999908447266,1321.9000244140625,3038.89990234375,3.9059998989105225,19.116649627685547,96.56999969482422
2019-03-26,59.939998626708984,67.97000122070312,1314.300048828125,3126.0,3.853600025177002,19.015600204467773,96.73999786376953
2019-03-27,59.40999984741211,67.83000183105469,1309.9000244140625,3153.699951171875,3.875,19.08810043334961,96.7699966430664
2019-03-28,59.29999923706055,67.81999969482422,1289.800048828125,3194.5,3.9881999492645264,19.363849639892578,97.19999694824219
2019-03-29,60.13999938964844,68.38999938964844,1293.0,3189.5,3.897700071334839,19.345300674438477,97.27999877929688
2019-04-01,61.59000015258789,69.01000213623047,1288.4000244140625,3183.5,3.922499895095825,19.32939910888672,97.25
2019-04-02,62.58000183105469,69.37000274658203,1290.0,3143.199951171875,3.8485000133514404,19.159299850463867,97.36000061035156
2019-04-03,62.459999084472656,69.30999755859375,1289.9000244140625,3139.39990234375,3.852299928665161,19.216100692749023,97.08999633789062
2019-04-04,62.099998474121094,69.4000015258789,1289.0,3121.0,3.868299961090088,19.217670440673828,97.30999755859375
2019-04-05,63.08000183105469,70.33999633789062,1290.4000244140625,3130.89990234375,3.8559000492095947,19.146799087524414,97.4000015258789
2019-04-08,64.4000015258789,71.0999984741211,1297.0999755859375,3122.0,3.874000072479248,19.06130027770996,97.05000305175781
2019-04-09,63.97999954223633,70.61000061035156,1303.5,3113.0,3.8482000827789307,18.98390007019043,97.01000213623047
2019-04-10,64.61000061035156,71.7300033569336,1309.0999755859375,3113.0,3.8480000495910645,18.913820266723633,96.94999694824219
2019-04-11,63.58000183105469,70.83000183105469,1288.5999755859375,3093.0,3.8239998817443848,18.806400299072266,97.18000030517578
2019-04-12,63.88999938964844,71.55000305175781,1290.5999755859375,3058.0,3.855799913406372,18.8169002532959,96.97000122070312
2019-04-15,63.400001525878906,71.18000030517578,1286.800048828125,3074.60009765625,3.8803000450134277,18.757579803466797,96.94000244140625
2019-04-16,64.05000305175781,71.72000122070312,1272.5999755859375,3135.800048828125,3.8703999519348145,18.85930061340332,97.04000091552734
2019-04-17,63.7599983215332,71.62000274658203,1272.199951171875,3160.0,3.9038000106811523,18.865800857543945,97.01000213623047
2019-04-18,64.0,71.97000122070312,1271.9000244140625,3164.699951171875,3.9367001056671143,18.802000045776367,97.47000122070312
2019-04-22,65.69999694824219,74.04000091552734,1273.5,3146.0,3.934499979019165,18.7677001953125,97.27999877929688
2019-04-23,66.30000305175781,74.51000213623047,1269.300048828125,3148.300048828125,3.9340999126434326,18.826099395751953,97.56999969482422
2019-04-24,65.88999938964844,74.56999969482422,1275.5,3178.300048828125,3.918299913406372,18.903400421142578,98.0999984741211
2019-04-25,65.20999908447266,74.3499984741211,1275.800048828125,3214.300048828125,3.9895999431610107,19.068300247192383,98.19999694824219
2019-04-26,63.29999923706055,72.1500015258789,1284.9000244140625,3233.0,3.952699899673462,19.022680282592773,98.01000213623047
2019-04-29,63.5,72.04000091552734,1278.5999755859375,3181.89990234375,3.9291999340057373,18.928600311279297,97.86000061035156
2019-04-30,63.90999984741211,72.80000305175781,1282.800048828125,3249.300048828125,3.9442999362945557,18.99839973449707,97.4800033569336
2019-05-01,63.599998474121094,72.18000030517578,1281.4000244140625,3234.60009765625,3.9168999195098877,18.93815040588379,97.69000244140625
2019-05-02,61.810001373291016,70.75,1269.699951171875,3228.699951171875,3.919300079345703,18.98270034790039,97.83000183105469
2019-05-03,61.939998626708984,70.8499984741211,1279.199951171875,3262.0,3.966200113296509,19.11319923400879,97.5199966430664
2019-05-06,62.25,71.23999786376953,1281.699951171875,3240.199951171875,3.9365999698638916,19.057899475097656,97.5199966430664
2019-05-07,61.400001525878906,69.87999725341797,1283.5,3251.5,3.9681999683380127,18.992599487304688,97.62999725341797
